# Program:featureCounts v2.0.3; Command:"featureCounts" "-F" "SAF" "-s" "2" "-O" "-a" "/Users/daliasebat/Desktop/Yeo-Lab-Summer/hg38_transcript_start_stop.SAF" "-o" "/Users/daliasebat/Desktop/Yeo-Lab-Summer/results/feature_counts_hg38_WITH-0_saf.txt" "/Users/daliasebat/Desktop/Yeo-Lab-Summer/bams/one_bam_file/IP25.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/Users/daliasebat/Desktop/Yeo-Lab-Summer/bams/one_bam_file/IP25.sorted.bam
UBE2V1	chr20	50081123	50115954	-	34832	2712
UBE2U	chr1	64203626	64267368	+	63743	13
UBE2T	chr1	202331656	202341936	-	10281	1458
UBE2S	chr19	55399744	55407788	-	8045	1559
UBE2R2-AS1	chr9	33775182	33801186	-	26005	26
UBE2R2	chr9	33817159	33920399	+	103241	3636
UBE2QL1	chr5	6448858	6496723	+	47866	82
UBE2Q2	chr15	75843306	75901044	+	57739	3286
UBE2Q1-AS1	chr1	154553608	154555017	+	1410	4
UBE2Q1	chr1	154548576	154558662	-	10087	1488
UBE2O	chr17	76389455	76453152	-	63698	5850
UBE2NL	chrX	143884070	143885255	+	1186	0
UBE2N	chr12	93405683	93441947	-	36265	3795
UBE2M	chr19	58555711	58558611	-	2901	1004
UBE2L6	chr11	57551655	57568284	-	16630	15
UBE2L5	chr13	30422492	30429758	+	7267	7
UBE2L3	chr22	21549446	21624034	+	74589	2678
UBE2K	chr4	39698135	39782792	+	84658	14186
UBE2J2	chr1	1253911	1273854	-	19944	3275
UBE2J1	chr6	89326624	89352722	-	26099	1697
UBE2I	chr16	1308879	1327018	+	18140	2582
UBE2H	chr7	129830731	129952960	-	122230	5631
UBE2G2	chr21	44768579	44801820	-	33242	13883
UBE2G1	chr17	4269258	4366482	-	97225	5325
UBE2F-SCLY	chr2	237967074	238068170	+	101097	1709
UBE2F	chr2	237966954	238042782	+	75829	1192
UBE2E3	chr2	180980384	181063424	+	83041	5870
UBE2E2-AS1	chr3	23194928	23202703	-	7776	2
UBE2E2	chr3	23203326	23591794	+	388469	20543
UBE2E1-AS1	chr3	23804023	23806905	-	2883	60
UBE2E1	chr3	23805954	23891640	+	85687	10074
UBE2D4	chr7	43926435	43956136	+	29702	496
UBE2D3-AS1	chr4	102828054	102844075	+	16022	538
UBE2D3	chr4	102797251	102868875	-	71625	6481
UBE2D2	chr5	139526430	139626855	+	100426	5396
UBE2D1	chr10	58334978	58370751	+	35774	1383
UBE2C	chr20	45812575	45816953	+	4379	1500
UBE2B	chr5	134371568	134392108	+	20541	2047
UBE2A	chrX	119574562	119591083	+	16522	2060
UBD	chr6	29555514	29559732	-	4219	3
UBC	chr12	124911603	124915348	-	3746	2544
UBB	chr17	16381090	16382740	+	1651	3587
UBASH3B	chr11	122655721	122814473	+	158753	658
UBASH3A	chr21	42403901	42447684	+	43784	0
UBAP2L	chr1	154220848	154271509	+	50662	9462
UBAP2	chr9	33921692	34048949	-	127258	6304
UBAP1L	chr15	65092769	65115197	-	22429	1317
UBAP1	chr9	34179037	34252520	+	73484	1760
UBALD2	chr17	76265347	76271298	+	5952	512
UBALD1	chr16	4608882	4615027	-	6146	1656
UBAC2-AS1	chr13	99181222	99200693	-	19472	445
UBAC2	chr13	99200853	99386504	+	185652	9068
UBAC1	chr9	135932968	135961373	-	28406	3043
UBA7	chr3	49805208	49813953	-	8746	111
UBA6-AS1	chr4	67701278	68080952	+	379675	4076
UBA6	chr4	67612651	67701155	-	88505	4930
UBA52	chr19	18571856	18577550	+	5695	3191
UBA5	chr3	132654445	132678097	+	23653	3307
UBA3	chr3	69054729	69080408	-	25680	2984
UBA2	chr19	34428380	34471251	+	42872	6480
UBA1	chrX	47190860	47215128	+	24269	15435
UAP1L1	chr9	137077516	137084538	+	7023	1763
UAP1	chr1	162561505	162599842	+	38338	2513
UACA	chr15	70654553	70763558	-	109006	6886
U95743.1	chr16	13730136	13779748	-	49613	0
U91328.3	chr6	26013240	26013757	+	518	18
U91328.2	chr6	25983811	25999167	-	15357	19
U91328.1	chr6	25992661	26001775	+	9115	339
U91324.1	chr2	8139355	8143953	+	4599	0
U91319.1	chr16	13246231	13563012	+	316782	60
U82671.1	chrX	152925355	152927043	-	1689	2
U8	chr3	41899110	41899253	-	144	0
U73169.1	chr3	50239617	50239984	+	368	7
U73166.1	chr3	50260302	50263358	+	3057	250
U7	chr16	68926893	68926957	-	65	0
U62631.1	chr19	35330842	35331920	+	1079	0
U62317.3	chr22	50541107	50543011	+	1905	4
U62317.2	chr22	50597151	50597599	+	449	4
U62317.1	chr22	50523925	50524780	+	856	275
U6	chr13	18418525	18418632	+	108	0
U52112.1	chrX	153872258	153909166	-	36909	441
U52111.1	chrX	153735625	153766453	-	30829	123
U47924.3	chr12	6899751	6900212	+	462	11
U47924.2	chr12	6943507	6944604	-	1098	12
U47924.1	chr12	6964948	6965382	+	435	1
U4	chr8	123454980	123455107	-	128	1
U3	chr17	44303964	44304203	+	240	0
U2SURP	chr3	143001569	143060725	+	59157	17001
U2AF2	chr19	55654145	55674715	+	20571	5393
U2AF1L5	chr21	6484623	6499256	-	14634	186
U2AF1L4	chr19	35742528	35745442	-	2915	376
U2AF1	chr21	43092955	43107570	-	14616	174
U2	chr17	43273100	43273292	-	193	0
U1	chr21	9646824	9647000	+	177	0
Telomerase-vert	chr3	169764609	169765047	-	439	304
TYW5	chr2	199928912	199955491	-	26580	1708
TYW3	chr1	74733151	74766677	+	33527	2228
TYW1B	chr7	72558743	72828174	-	269432	2709
TYW1	chr7	66996819	67239519	+	242701	3636
TYSND1	chr10	70137980	70146700	-	8721	2709
TYRP1	chr9	12693384	12710285	+	16902	2
TYROBP	chr19	35904400	35908295	-	3896	0
TYRO3	chr15	41559211	41583589	+	24379	2076
TYR	chr11	89177874	89295759	+	117886	1
TYMSOS	chr18	630885	642518	-	11634	17
TYMS	chr18	657652	673578	+	15927	1725
TYMP	chr22	50525755	50530032	-	4278	47
TYK2	chr19	10350532	10380572	-	30041	6393
TXNRD3	chr3	126607058	126655124	-	48067	913
TXNRD2	chr22	19875521	19941820	-	66300	2368
TXNRD1	chr12	104215778	104350307	+	134530	4329
TXNL4B	chr16	72084858	72093869	-	9012	460
TXNL4A	chr18	79972874	80033949	-	61076	2421
TXNL1	chr18	56602821	56651128	-	48308	1215
TXNIP	chr1	145992434	145996579	-	4146	1072
TXNDC9	chr2	99318981	99336333	-	17353	798
TXNDC8	chr9	110303475	110337863	-	34389	1
TXNDC5	chr6	7881516	7910788	-	29273	2862
TXNDC2	chr18	9885972	9889275	+	3304	20
TXNDC17	chr17	6641059	6644541	+	3483	379
TXNDC16	chr14	52430595	52552505	-	121911	2718
TXNDC15	chr5	134874370	134901635	+	27266	1866
TXNDC12-AS1	chr1	52050917	52052683	+	1767	1
TXNDC12	chr1	52020130	52055191	-	35062	2641
TXNDC11	chr16	11679079	11742878	-	63800	1857
TXN2	chr22	36467045	36481640	-	14596	711
TXN	chr9	110243809	110256507	-	12699	3870
TXLNG	chrX	16786431	16844517	+	58087	12082
TXLNB	chr6	139240060	139291998	-	51939	145
TXLNA	chr1	32179674	32198285	+	18612	6328
TXK	chr4	48066392	48134250	-	67859	177
TWSG1	chr18	9334772	9402420	+	67649	826
TWNK	chr10	100987535	100994401	+	6867	1402
TWISTNB	chr7	19695460	19709037	-	13578	1639
TWIST2	chr2	238848084	238910534	+	62451	1639
TWIST1	chr7	19115467	19117636	-	2170	223
TWF2	chr3	52228611	52239158	-	10548	335
TWF1	chr12	43793722	43806317	-	12596	785
TVP23C-CDRT4	chr17	15436020	15563561	-	127542	6476
TVP23C	chr17	15502263	15563544	-	61282	2969
TVP23B	chr17	18781182	18806714	+	25533	1244
TVP23A	chr16	10766674	10818794	-	52121	1
TUT7	chr9	86287732	86354454	-	66723	2636
TUT4	chr1	52423274	52553100	-	129827	12155
TUT1	chr11	62575044	62591637	-	16594	1550
TUSC8	chr13	44400249	44405885	-	5637	0
TUSC7	chr3	116709405	116717321	+	7917	2
TUSC3	chr8	15540222	15766649	+	226428	10036
TUSC2	chr3	50324908	50328223	-	3316	510
TUSC1	chr9	25676388	25678440	-	2053	197
TUNAR	chr14	95876391	95925562	+	49172	1
TULP4	chr6	158312464	158511828	+	199365	14885
TULP3	chr12	2890890	2941138	+	50249	1979
TULP2	chr19	48880966	48898744	-	17779	26
TULP1	chr6	35497873	35512896	-	15024	2
TUG1	chr22	30969269	30979395	+	10127	10721
TUFT1	chr1	151540304	151583583	+	43280	1390
TUFM	chr16	28842410	28846348	-	3939	4186
TUBGCP6	chr22	50217693	50245023	-	27331	6915
TUBGCP5	chr15	22999176	23039569	-	40394	2229
TUBGCP4	chr15	43371100	43409771	+	38672	4852
TUBGCP3	chr13	112485010	112588153	-	103144	8530
TUBGCP2	chr10	133278629	133309156	-	30528	3837
TUBG2	chr17	42659283	42667006	+	7724	1454
TUBG1	chr17	42609682	42615238	+	5557	1232
TUBE1	chr6	112070662	112087482	-	16821	3473
TUBD1	chr17	59859478	59892943	-	33466	2751
TUBB8B	chr18	47389	49557	-	2169	1
TUBB8	chr10	46891	74163	-	27273	11
TUBB6	chr18	12308252	12337225	+	28974	2327
TUBB4B	chr9	137241286	137243707	+	2422	3198
TUBB4A	chr19	6494318	6502309	-	7992	95
TUBB3	chr16	89923344	89938761	+	15418	180
TUBB2B	chr6	3224276	3227653	-	3378	407
TUBB2A	chr6	3153665	3157544	-	3880	128
TUBB1	chr20	59019428	59026654	+	7227	4
TUBB	chr6	30720351	30725422	+	5072	6449
TUBAL3	chr10	5393100	5404828	-	11729	2
TUBA8	chr22	18110808	18131732	+	20925	704
TUBA4B	chr2	219253242	219272197	+	18956	5
TUBA4A	chr2	219249710	219254608	-	4899	20
TUBA3FP	chr22	21008636	21014292	-	5657	50
TUBA3E	chr2	130191744	130198439	-	6696	1
TUBA3D	chr2	131476118	131482934	+	6817	1
TUBA3C	chr13	19173771	19181824	-	8054	1
TUBA1C	chr12	49227925	49273334	+	45410	1805
TUBA1B	chr12	49127781	49131395	-	3615	4099
TUBA1A	chr12	49184794	49189080	-	4287	1133
TUB-AS1	chr11	8060037	8069373	+	9337	9
TUB	chr11	8019243	8101780	+	82538	2063
TTYH3	chr7	2631985	2664802	+	32818	2896
TTYH2	chr17	74213570	74262020	+	48451	493
TTYH1	chr19	54415430	54436900	+	21471	6
TTTY9B	chrY	18581205	18590521	-	9317	0
TTTY8B	chrY	6470772	6473630	-	2859	0
TTTY8	chrY	9691099	9693957	+	2859	0
TTTY7B	chrY	9706823	9715262	-	8440	0
TTTY7	chrY	6449467	6457906	+	8440	0
TTTY6B	chrY	22144965	22146831	+	1867	0
TTTY6	chrY	22439592	22441458	-	1867	0
TTTY5	chrY	22296797	22298876	-	2080	0
TTTY4C	chrY	25063082	25099892	-	36811	0
TTTY4B	chrY	24570201	24607025	+	36825	0
TTTY4	chrY	22936454	22973284	+	36831	0
TTTY3B	chrY	23936726	23941622	-	4897	0
TTTY3	chrY	25728489	25733388	+	4900	0
TTTY2B	chrY	6411469	6462091	-	50623	0
TTTY23	chrY	9910797	9911962	+	1166	0
TTTY22	chrY	9784371	9833895	+	49525	0
TTTY21B	chrY	6443433	6450685	+	7253	0
TTTY21	chrY	9717652	9721296	-	3645	0
TTTY20	chrY	9329879	9334832	-	4954	0
TTTY2	chrY	9740583	9758476	+	17894	0
TTTY1B	chrY	6390430	6411564	+	21135	0
TTTY19	chrY	8704471	8705283	+	813	0
TTTY18	chrY	8682593	8700977	-	18385	0
TTTY17C	chrY	25182276	25213389	-	31114	0
TTTY17B	chrY	24485331	24486463	+	1133	0
TTTY17A	chrY	22851583	22852715	+	1133	0
TTTY14	chrY	18772742	19077222	-	304481	1
TTTY13	chrY	21565091	21605081	-	39991	0
TTTY12	chrY	7804000	7810683	+	6684	0
TTTY10	chrY	20464988	20575222	-	110235	5
TTTY1	chrY	9753155	9774289	-	21135	0
TTR	chr18	31557009	31598833	+	41825	0
TTPAL	chr20	44475873	44494603	+	18731	1218
TTPA	chr8	63059487	63086053	-	26567	21
TTN-AS1	chr2	178523220	178779952	+	256733	13188
TTN	chr2	178525988	178807423	-	281436	89
TTLL9	chr20	31870701	31944961	+	74261	29
TTLL8	chr22	50015122	50054626	-	39505	1
TTLL7-IT1	chr1	83979117	83984300	-	5184	101
TTLL7	chr1	83865023	83999132	-	134110	4460
TTLL6	chr17	48762240	48817214	-	54975	111
TTLL5	chr14	75661245	75955079	+	293835	7551
TTLL4	chr2	218710834	218755416	+	44583	3955
TTLL3	chr3	9819302	9855138	+	35837	4105
TTLL2	chr6	167325085	167342688	+	17604	1
TTLL13P	chr15	90249529	90264967	+	15439	238
TTLL12	chr22	43166621	43187134	-	20514	2645
TTLL11-IT1	chr9	121884635	121963719	-	79085	659
TTLL11	chr9	121821927	122093606	-	271680	2851
TTLL10-AS1	chr1	1173055	1179555	-	6501	3
TTLL10	chr1	1173879	1197936	+	24058	0
TTLL1	chr22	43039515	43089391	-	49877	262
TTL	chr2	112482155	112541739	+	59585	9428
TTK	chr6	80003886	80042527	+	38642	3068
TTI2	chr8	33498508	33513185	-	14678	368
TTI1	chr20	37983006	38033461	-	50456	4748
TTF2	chr1	117060325	117107453	+	47129	6133
TTF1	chr9	132375547	132406851	-	31305	2093
TTC9C	chr11	62728485	62738636	+	10152	769
TTC9B	chr19	40216057	40218399	-	2343	3
TTC9	chr14	70641915	70675366	+	33452	397
TTC8	chr14	88824623	88881078	+	56456	1534
TTC7B	chr14	90524563	90816430	-	291868	8231
TTC7A	chr2	46916156	47074048	+	157893	1709
TTC6	chr14	37622064	37842463	+	220400	663
TTC5	chr14	20286226	20305951	-	19726	999
TTC4	chr1	54715860	54742657	+	26798	1604
TTC39C-AS1	chr18	23994212	24015339	-	21128	9
TTC39C	chr18	23992772	24133027	+	140256	2220
TTC39B	chr9	15163621	15307360	-	143740	1020
TTC39A-AS1	chr1	51329653	51335324	+	5672	14
TTC39A	chr1	51287257	51345116	-	57860	732
TTC38	chr22	46268007	46294008	+	26002	1677
TTC37	chr5	95461754	95554977	-	93224	9155
TTC36	chr11	118527473	118531197	+	3725	62
TTC34	chr1	2635975	2801717	-	165743	58
TTC33	chr5	40512332	40755908	-	243577	1330
TTC32	chr2	19896630	19901983	-	5354	1339
TTC31	chr2	74483080	74494559	+	11480	2080
TTC30B	chr2	177548997	177552796	-	3800	157
TTC30A	chr2	177612998	177618742	-	5745	178
TTC3-AS1	chr21	37187665	37193926	-	6262	15
TTC3	chr21	37073270	37203103	+	129834	25955
TTC29	chr4	146706637	146945832	-	239196	9
TTC28-AS1	chr22	27919422	28002640	+	83219	2966
TTC28	chr22	27978013	28679865	-	701853	32292
TTC27	chr2	32628049	32821051	+	193003	2325
TTC26	chr7	139133743	139191985	+	58243	1488
TTC25	chr17	41930616	41966503	+	35888	568
TTC24	chr1	156579726	156586770	+	7045	7
TTC23L	chr5	34839163	34899456	+	60294	117
TTC23	chr15	99137552	99251223	-	113672	3068
TTC22	chr1	54779711	54801323	-	21613	2
TTC21B-AS1	chr2	165933856	165949891	+	16036	10
TTC21B	chr2	165873361	165953776	-	80416	3562
TTC21A	chr3	39107703	39138900	+	31198	169
TTC19	chr17	15999823	16029404	+	29582	5975
TTC17	chr11	43358919	43494931	+	136013	10790
TTC16	chr9	127716078	127731590	+	15513	11
TTC14	chr3	180602210	180617828	+	15619	4975
TTC13	chr1	230906242	230978861	-	72620	3505
TTC12	chr11	113314810	113383544	+	68735	1188
TTC1	chr5	160009138	160065543	+	56406	1770
TTBK2	chr15	42738729	42920778	-	182050	6446
TTBK1	chr6	43243480	43288258	+	44779	25
TSTD3	chr6	99521048	99533185	+	12138	423
TSTD2	chr9	97600079	97633368	-	33290	3898
TSTD1	chr1	161037630	161038977	-	1348	8
TSTA3	chr8	143612617	143617549	-	4933	740
TST	chr22	37010858	37020183	-	9326	819
TSSK6	chr19	19514218	19515548	-	1331	52
TSSK4	chr14	24205695	24208248	+	2554	13
TSSK3	chr1	32362538	32364312	+	1775	36
TSSK2	chr22	19131307	19132622	+	1316	0
TSSK1B	chr5	113432552	113434989	-	2438	6
TSSC4	chr11	2400487	2403878	+	3392	586
TSR3	chr16	1349239	1351878	-	2640	515
TSR2	chrX	54440403	54448032	+	7630	920
TSR1	chr17	2322395	2336457	-	14063	6704
TSPYL6	chr2	54253177	54256229	-	3053	12
TSPYL5	chr8	97273487	97277928	-	4442	3
TSPYL4	chr6	116249963	116254075	-	4113	1758
TSPYL2	chrX	53082366	53088540	+	6175	2343
TSPYL1	chr6	116274857	116279930	-	5074	2973
TSPY9P	chrY	9487312	9489893	+	2582	0
TSPY8	chrY	9357796	9360593	+	2798	0
TSPY4	chrY	9337463	9340278	+	2816	0
TSPY3	chrY	9398420	9401217	+	2798	0
TSPY2	chrY	6246222	6249013	+	2792	0
TSPY10	chrY	9527879	9530676	+	2798	0
TSPY1	chrY	9466954	9469749	+	2796	0
TSPOAP1-AS1	chr17	58325449	58353286	+	27838	20
TSPOAP1	chr17	58301230	58328795	-	27566	18
TSPO2	chr6	41042466	41044337	+	1872	0
TSPO	chr22	43151546	43163241	+	11696	921
TSPEAR-AS2	chr21	44517616	44520830	+	3215	83
TSPEAR-AS1	chr21	44506806	44516575	+	9770	8
TSPEAR	chr21	44497892	44711572	-	213681	119
TSPAN9-IT1	chr12	3149796	3151476	+	1681	38
TSPAN9	chr12	3077354	3286564	+	209211	3353
TSPAN8	chr12	71125084	71441898	-	316815	10
TSPAN7	chrX	38561541	38688918	+	127378	1752
TSPAN6	chrX	100627108	100637104	-	9997	817
TSPAN5	chr4	98470366	98658611	-	188246	5724
TSPAN4	chr11	842823	867116	+	24294	1004
TSPAN33	chr7	129144706	129169699	+	24994	432
TSPAN32	chr11	2302012	2318204	+	16193	5
TSPAN31	chr12	57745022	57750211	+	5190	611
TSPAN3	chr15	77046331	77083984	-	37654	4554
TSPAN2	chr1	115048010	115089503	-	41494	390
TSPAN19	chr12	85014316	85036277	-	21962	63
TSPAN18-AS1	chr11	44719391	44736692	-	17302	1
TSPAN18	chr11	44726961	44932423	+	205463	1741
TSPAN17	chr5	176647386	176659020	+	11635	845
TSPAN16	chr19	11296147	11326996	+	30850	12
TSPAN15	chr10	69451464	69507666	+	56203	1908
TSPAN14	chr10	80454165	80533123	+	78959	1694
TSPAN13	chr7	16753754	16784536	+	30783	377
TSPAN12	chr7	120787319	120858144	-	70826	732
TSPAN11	chr12	30926747	30996599	+	69853	71
TSPAN10	chr17	81637197	81648748	+	11552	221
TSPAN1	chr1	46175086	46185962	+	10877	13
TSNAXIP1	chr16	67806764	67828014	+	21251	275
TSNAX-DISC1	chr1	231528652	231819244	+	290593	4888
TSNAX	chr1	231528668	231566524	+	37857	3008
TSNARE1	chr8	142212079	142403182	-	191104	2236
TSN	chr2	121755544	121767853	+	12310	1555
TSLP	chr5	111070061	111076793	+	6733	76
TSKU	chr11	76782312	76798153	+	15842	527
TSKS	chr19	49739759	49763306	-	23548	50
TSIX	chrX	73792204	73829231	+	37028	16291
TSHZ3	chr19	31274944	31349436	-	74493	4439
TSHZ2	chr20	52972357	53495330	+	522974	6107
TSHZ1	chr18	75210754	75289950	+	79197	2685
TSHR	chr14	80955042	81146302	+	191261	115
TSHB	chr1	115029825	115034302	+	4478	0
TSGA13	chr7	130668647	130687432	-	18786	7
TSGA10IP	chr11	65945444	65959963	+	14520	3
TSGA10	chr2	98997260	99154942	-	157683	1707
TSG101	chr11	18468335	18526951	-	58617	1925
TSFM	chr12	57782786	57808071	+	25286	1649
TSEN54	chr17	75516527	75524735	+	8209	1910
TSEN34	chr19	54190267	54194536	+	4270	385
TSEN2	chr3	12484479	12533658	+	49180	4734
TSEN15	chr1	184051685	184097485	+	45801	3007
TSC22D4	chr7	100466518	100479214	-	12697	714
TSC22D3	chrX	107713220	107775985	-	62766	252
TSC22D2	chr3	150408334	150466431	+	58098	3969
TSC22D1-AS1	chr13	44575892	44580432	+	4541	31
TSC22D1	chr13	44432142	44576565	-	144424	4241
TSC2	chr16	2047976	2089487	+	41512	7784
TSC1	chr9	132891352	132944769	-	53418	11094
TSBP1-AS1	chr6	32262701	32407763	+	145063	219
TSBP1	chr6	32288525	32371899	-	83375	7
TSACC	chr1	156337313	156346995	+	9683	125
TRUB2	chr9	128305158	128322447	-	17290	1187
TRUB1	chr10	114938194	114977676	+	39483	2871
TRRAP	chr7	98878489	99013243	+	134755	10976
TRPV6	chr7	142871207	142885745	-	14539	2
TRPV5	chr7	142908100	142933746	-	25647	6
TRPV4	chr12	109783088	109833398	-	50311	115
TRPV3	chr17	3510501	3557812	-	47312	82
TRPV2	chr17	16415570	16437003	+	21434	154
TRPV1	chr17	3565443	3609411	-	43969	2834
TRPT1	chr11	64223799	64226254	-	2456	604
TRPS1	chr8	115408495	115668975	-	260481	18637
TRPM8	chr2	233917372	234019522	+	102151	5
TRPM7	chr15	50557157	50686797	-	129641	9233
TRPM6	chr9	74722494	74887921	-	165428	202
TRPM5	chr11	2404514	2423045	-	18532	4
TRPM4	chr19	49157791	49211836	+	54046	1108
TRPM3	chr9	70535943	71446835	-	910893	111
TRPM2-AS	chr21	44414587	44425272	-	10686	0
TRPM2	chr21	44350162	44443081	+	92920	28
TRPM1	chr15	31001060	31161273	-	160214	3
TRPC7-AS2	chr5	136303756	136316100	+	12345	1
TRPC7-AS1	chr5	136214047	136222159	+	8113	39
TRPC7	chr5	136212744	136365545	-	152802	2
TRPC6	chr11	101451563	101584007	-	132445	411
TRPC5OS	chrX	111876050	111902208	+	26159	8
TRPC5	chrX	111774314	112082776	-	308463	6
TRPC4AP	chr20	35002403	35092807	-	90405	5554
TRPC4	chr13	37632062	37869772	-	237711	245
TRPC3	chr4	121874480	121952060	-	77581	1578
TRPC1	chr3	142724033	142807888	+	83856	4290
TRPA1	chr8	72021249	72075584	-	54336	29
TROAP	chr12	49323254	49331731	+	8478	4432
TRO	chrX	54920562	54931429	+	10868	3487
TRNT1	chr3	3126939	3149023	+	22085	1982
TRNP1	chr1	26993691	27000886	+	7196	540
TRNAU1AP	chr1	28553084	28578545	+	25462	3332
TRMU	chr22	46335713	46357340	+	21628	3529
TRMT9B	chr8	12945641	13031503	+	85863	1221
TRMT61B	chr2	28849820	28870309	-	20490	1652
TRMT61A	chr14	103529195	103537073	+	7879	580
TRMT6	chr20	5937227	5950533	-	13307	423
TRMT5	chr14	60971440	60981079	-	9640	954
TRMT44	chr4	8440776	8476555	+	35780	1645
TRMT2B-AS1	chrX	101043563	101094476	-	50914	170
TRMT2B	chrX	101009345	101052116	-	42772	1901
TRMT2A	chr22	20111874	20117392	-	5519	3836
TRMT1L	chr1	185118100	185156953	-	38854	1811
TRMT13	chr1	100133162	100150498	+	17337	4166
TRMT12	chr8	124450819	124453026	+	2208	978
TRMT112	chr11	64316459	64317559	-	1101	460
TRMT11	chr6	125986478	126039276	+	52799	8027
TRMT10C	chr3	101561867	101566446	+	4580	581
TRMT10B	chr9	37753804	37778972	+	25169	1056
TRMT10A	chr4	99546710	99564039	-	17330	481
TRMT1	chr19	13104906	13117567	-	12662	3980
TRMO	chr9	97904488	97922500	-	18013	839
TRIT1	chr1	39838109	39883504	-	45396	5960
TRIR	chr19	12730639	12734684	-	4046	2119
TRIQK	chr8	92885319	93017673	-	132355	1024
TRIP6	chr7	100867386	100873454	+	6069	2363
TRIP4	chr15	64387835	64455303	+	67469	1508
TRIP13	chr5	892883	918120	+	25238	3421
TRIP12	chr2	229763836	229922009	-	158174	10829
TRIP11	chr14	91965990	92040059	-	74070	2937
TRIP10	chr19	6737924	6751500	+	13577	1306
TRIOBP	chr22	37697047	37776556	+	79510	1786
TRIO	chr5	14143341	14510204	+	366864	28700
TRIML2	chr4	188091272	188105593	-	14322	399
TRIML1	chr4	188139440	188147743	+	8304	0
TRIM9	chr14	50975261	51096061	-	120801	2737
TRIM8	chr10	102644478	102658318	+	13841	965
TRIM77	chr11	89710298	89717872	+	7575	0
TRIM75P	chr4	165053863	165060554	+	6692	0
TRIM74	chr7	72959484	72969466	-	9983	27
TRIM73	chr7	75395755	75410996	+	15242	26
TRIM72	chr16	31214118	31231537	+	17420	26
TRIM71	chr3	32817996	32897824	+	79829	1720
TRIM7	chr5	181193923	181205196	-	11274	132
TRIM69	chr15	44728987	44767827	+	38841	248
TRIM68	chr11	4598671	4608231	-	9561	225
TRIM67	chr1	231162111	231221556	+	59446	9
TRIM66	chr11	8612039	8682658	-	70620	2324
TRIM65	chr17	75888962	75896951	-	7990	4709
TRIM64C	chr11	49053713	49059112	-	5400	0
TRIM64B	chr11	89869281	89876017	-	6737	0
TRIM64	chr11	89968501	89974072	+	5572	0
TRIM63	chr1	26051300	26067630	-	16331	4
TRIM62	chr1	33145398	33182043	-	36646	367
TRIM61	chr4	164954445	164977657	-	23213	0
TRIM60	chr4	165016457	165041744	+	25288	0
TRIM6-TRIM34	chr11	5596724	5644398	+	47675	560
TRIM6	chr11	5596108	5612952	+	16845	538
TRIM59	chr3	160432444	160448937	-	16494	1643
TRIM58	chr1	247857186	247880138	+	22953	620
TRIM56	chr7	101085480	101097967	+	12488	1188
TRIM55	chr8	66126895	66175485	+	48591	7
TRIM54	chr2	27282428	27307435	+	25008	30
TRIM52-AS1	chr5	181261221	181272307	+	11087	434
TRIM52	chr5	181255146	181261118	-	5973	1209
TRIM51GP	chr11	48975323	48983826	-	8504	0
TRIM51	chr11	55883296	55891810	+	8515	0
TRIM50	chr7	73312535	73328082	-	15548	23
TRIM5	chr11	5663562	5872358	-	208797	419
TRIM49D2	chr11	89924063	89933063	+	9001	0
TRIM49D1	chr11	89911110	89921767	-	10658	0
TRIM49C	chr11	90031105	90042025	+	10921	0
TRIM49B	chr11	49027500	49038451	+	10952	0
TRIM49	chr11	89797654	89808575	-	10922	2
TRIM48	chr11	55262154	55271114	+	8961	0
TRIM47	chr17	75874163	75878581	-	4419	159
TRIM46	chr1	155173786	155184971	+	11186	91
TRIM45	chr1	117111059	117121762	-	10704	855
TRIM44	chr11	35662774	35818007	+	155234	5894
TRIM43B	chr2	95476966	95484731	-	7766	0
TRIM43	chr2	95592000	95599778	+	7779	2
TRIM42	chr3	140678063	140701150	+	23088	1
TRIM41	chr5	181223280	181235808	+	12529	2156
TRIM40	chr6	30136139	30148728	+	12590	9
TRIM4	chr7	99890412	99919600	-	29189	978
TRIM39-RPP21	chr6	30328906	30346854	+	17949	1390
TRIM39	chr6	30326843	30343729	+	16887	973
TRIM38	chr6	25962801	25991231	+	28431	930
TRIM37	chr17	58982650	59106921	-	124272	4132
TRIM36-IT1	chr5	115148763	115149644	-	882	13
TRIM36	chr5	115124761	115180159	-	55399	1139
TRIM35	chr8	27284885	27311272	-	26388	1334
TRIM34	chr11	5619763	5644398	+	24636	17
TRIM33	chr1	114392789	114511203	-	118415	9256
TRIM32	chr9	116687301	116701298	+	13998	996
TRIM31-AS1	chr6	30105239	30114724	+	9486	11
TRIM31	chr6	30102896	30113090	-	10195	0
TRIM3	chr11	6448613	6474459	-	25847	968
TRIM29	chr11	120111285	120138113	-	26829	5
TRIM28	chr19	58544063	58550715	+	6653	6180
TRIM27	chr6	28903001	28923988	-	20988	4346
TRIM26	chr6	30184454	30213427	-	28974	2548
TRIM25	chr17	56887908	56914049	-	26142	524
TRIM24	chr7	138460258	138589996	+	129739	2704
TRIM23	chr5	65589689	65624333	-	34645	798
TRIM22	chr11	5689789	5710863	+	21075	6
TRIM21	chr11	4384896	4393702	-	8807	198
TRIM2	chr4	153152162	153339311	+	187150	4750
TRIM17	chr1	228407934	228416861	-	8928	119
TRIM16L	chr17	18722088	18736118	+	14031	305
TRIM16	chr17	15627965	15684311	-	56347	4349
